연도,시도코드,시도명,시군구코드,시군구명,학교명,학교구분명,수업연한,학위과정명,주야과정명,학과상태명,학과명,학과코드명(7대계열),표준분류계열코드,대학자체계열명,단과대학명,학교학과특성명,주요교과목명,입학정원수,졸업자수,관련직업명,수정일자,데이터기준일자,제공기관코드,제공기관명
2023,11,서울특별시,110,종로구,상명대학교,대학교,4년,학사,주간,기존,계당교양교육원(자연),U05040600088,B99999,자연과학,계당교양교육원,일반과정,,0,0,자연과학연구원,2023-02-22,2023-12-27,B340014,한국대학교육협의회
2023,11,서울특별시,110,종로구,상명대학교,대학교,4년,학사,주간,기존,공간환경학부,U05020600003,A05028,인문사회,인문사회과학대학,일반과정,문화와공간환경 +관광공간의스토리텔링과콘텐츠+도시재생과지역개발+환경과주택의이해+인문환경의이해 +글로컬시대국토의이해 +환경과공간정보의이해+신흥시장론+인구와공간환경 +한국주거공간의역사+공간정보학개론 +공간계획입문+공간환경디자인 +GIS이론과 실습+관광과여가공간의이해 +공간환경복지 +공간정보와자료분석+오픈소스GIS활용+경제공간의이해+미래주거공간환경 +지형과측량 +공간정보의시각화 +세계도시연구+공간디자인법과유지관리 +공간정보소프트웨어활용 +공간디자인CAD소프트웨어 +도시공간의이해 +특수공간환경계획 +원격탐사영상처리+기후와환경+물류와공간 +지역개발종합설계(캡스톤디자인)+주택상품개발및기획(캡스톤디자인)+공간환경심리 +주택/단지디자인 +지역사회의이해(캡스톤디자인)+단지디자인매뉴얼+공간과사회 +공간환경조사론+건강과공간환경+공간정보와인공지능,48,24,건축사+건축설계기술자+공간 디자이너+관광통역안내원+교수+국제회의전문가+도시계획 및 설계가+도시계획가+마을만들기활동가+문화콘텐츠전문가+물류관리사+사진측량및분석가+여행관련관리자+여행기획자+여행사무원+여행상품개발자+여행안내원+인테리어디자이너+인테리어코디네이터+자연환경안내원+중등학교교사+지리정보시스템전문가(GIS전문가)+지리학연구원+지적기사+측량 및 지리정보기술자+측량사,2023-02-22,2023-12-27,B340014,한국대학교육협의회
2023,11,서울특별시,110,종로구,상명대학교,대학교,4년,학사,주간,기존,교육학과,U03010100010,A98042,인문사회,사범대학,일반과정,학교현장실습(학기제)+인간관계와교육+청소년문화+인적자원개발론+교육복지론+청소년프로그램개발과평가(캡스톤디자인)+평생교육경영론+집단상담+디지털학습콘텐츠설계및개발(캡스톤디자인)+이러닝콘텐츠기획및설계(캡스톤디자인)+교육학교과교육과정+교과교실수업연구+HRD프로그램개발의이론과실제(캡스톤디자인)+청소년문제와보호+청소년심리및상담+교수설계이론과실제+미래교육론+교육행정+교육학교과교육론+교육학연구방법+교육과정개발과컨설팅+AI기반학습분석학(캡스톤디자인)+상담심리학+청소년육성제도론+교직과미래교사+교육학개론+인간발달과교육+교육과법+미래교사와의사소통+교육철학과교육사+교육심리+교육과정+교육평가+평생교육론+특수교육학개론+교육통계+교육사회학+교육공학+평생교육방법론+교육학교과교재연구및지도법+교육프로그램평가+학교폭력예방및학생의이해+다문화교육론+평생교육실습+교육학교과평가방법론+교육정책+생활지도및상담+교직실무,30,34,교육 및 훈련사무원+교육학연구원+교육행정사무원+교재 및 교구개발자+이러닝교수설계자+중등교사+직업능력개발훈련교사+청소년상담사+청소년지도사+평생교육사,2023-02-22,2023-12-27,B340014,한국대학교육협의회
2023,11,서울특별시,110,종로구,상명대학교,대학교,4년,학사,주간,기존,국가안보학과,U02030600063,A05149,인문사회,인문사회과학대학,일반과정,한국전쟁사+병영체험1+군리더십이해+리델하트의전략론+전쟁과군법+군인적자원관리+민군협력과방위산업의이해+정전체제와안보+군사학이해+북한체제및군사연구+군사영어+손자와간접접근전략+전략적국방분석(캡스톤디자인)+글로벌안보와국가위기관리+미래국방혁신+국방정책의이해+군상담심리학+특성화교육1+국가안전보장론+무기체계이해+한국사+군대윤리+한반도평화와통일+그림으로이해하는세계전쟁사+영화로이해하는국제분쟁+사이버전이해+잠재역량개발1+병영체험2+국방경영및관리+전술과작전술+비전설계1+동아시아와유라시아지역연구+지휘통솔1+국제관계와국방협력,34,32,군무원+군인,2023-02-22,2023-12-27,B340014,한국대학교육협의회
2023,11,서울특별시,110,종로구,상명대학교,대학교,4년,학사,주간,기존,국어교육과,U03050100002,A98043,인문사회,사범대학,일반과정,학교현장실습(학기제)+국어교육과정과평가+교과교실수업연구+학교현장과현대문학+국어교사와국어교육의탐구+국어교과논리및논술+고전소설교육론+국문학사+국어사자료강독+고전문학과문화콘텐츠(캡스톤디자인)+근세시가교육론+형태·통사론+교직과미래교사+국어학개론+미래교사와의사소통+화법교육론+국어교과교육론+교육학개론+현대문법교육론+현대시교육론+독서교육론+국어교육론+교육심리+교육철학및교육사+고전문학강독+고문법교육론+소설교육론+중세시가교육론+교육평가+교육사회+특수교육학개론+미디어리터러시와교육연극론+국어교과교재연구및지도법+현대문학사+교육과정+생활지도및상담+교육방법및교육공학+교직실무+국어사+현대소설사+교육행정및교육경영+학교폭력예방및학생의이해+문예비평론+학습자맞춤형수업설계(캡스톤디자인)+국어규범교육론+문학교육론,45,50,국어교사+중등교사,2023-02-22,2023-12-27,B340014,한국대학교육협의회
2023,11,서울특별시,110,종로구,상명대학교,대학교,4년,학사,주간,기존,글로벌경영학과,U02010100269,A03037,인문사회,경영경제대학,일반과정,4차산업혁명과강소기업경영론+데이터기반글로벌금융투자+글로벌서비스경영론+ICT와국제무역실습+다국적기업경영론+신흥시장진출세미나+신흥시장문화비교론+국제무역의역사적이해+국제통상과기업경영+무역회계기초+ESG와지속가능경영+신흥시장론+무역실무+글로벌마케팅원론+무역과협상+글로벌비즈니스커뮤니케이션+기업재무이론과실제+무역회계실무+ICT융합과소비자행동론+혁신경영과글로벌기업가정신+비즈니스영어+신흥시장지역연구+FTA와융합적통상전략+e비즈니스+경제공간의이해+국제무역이론과실제+전략경영론(캡스톤디자인)+글로벌물류+인공지능과글로벌비즈니스애널리틱스+국제마케팅+국제경영학(캡스톤디자인)+국제금융이론과실제+국제마케팅커뮤니케이션론+글로벌경영사례연구+국제재무관리+통상기획과의사결정+데이터기반글로벌시장조사론(캡스톤디자인)+핀테크금융시장과금융상품+디지털마케팅론+프로젝트매니지먼트(캡스톤디자인)+글로벌유통관리+글로벌비즈니스실습+글로벌브랜드경영+융복합기반K-business(캡스톤디자인),73,124,경리사무원+경영기획사무원+경영컨설턴트+고객정보분석원+관세사+관세행정사무원+국제무역사+마케팅 및 여론조사전문가+마케팅사무원+무역사무원+물류관리사+영업관리사무원+영업원+재무관리자+조세행정사무원+창업컨설팅+통계 및 설문조사원+통상전문가(물류관리전문가)+포워더(복합운송주선인),2023-02-22,2023-12-27,B340014,한국대학교육협의회
2023,11,서울특별시,110,종로구,상명대학교,대학교,4년,학사,주간,기존,기타(소속학과없음),Z99999999999,A99999,인문사회,단과대구분없음,일반과정,,0,0,,2017-02-27,2023-12-27,B340014,한국대학교육협의회
2023,11,서울특별시,110,종로구,상명대학교,대학교,4년,학사,주간,기존,기타모집단위,U01020800121,A99999,인문사회,단과대구분없음,일반과정,,0,0,,2023-02-22,2023-12-27,B340014,한국대학교육협의회
2023,11,서울특별시,110,종로구,상명대학교,대학교,4년,학사,주간,기존,미술학부 생활예술전공,U07020100074,C13124,예체능,문화예술대학,일반과정,디자인아트스튜디오2(캡스톤디자인)+NONWOVEN기법연구+기초공구기법과구조+Surface Art기법+그래픽디자인+특수공구기법과조형+OFF-LOOM직물기법+퍼니처캡스톤디자인1+아트퍼니처캡스톤디자인1+문화상품기획(캡스톤디자인)+Surface Capstone Design1+기초 On-Loom Capstone Design+특수니팅기법연구1+퍼니처캡스톤디자인2+브랜딩방법론+특수니팅기법연구2+아트퍼니처캡스톤디자인2+Surface Capstone Design2+On-Loom Capstone Design+디자인아트스튜디오I(캡스톤디자인)+ Life Art Project2+리빙디자인스튜디오2+기초조형+디자인드로잉1+형태와구조+생활예술과인공지능+디자인드로잉2+기초가구디자인+Mixed Media+색채와예술문화+현대가구디자인사+Open Studio Design1+3D Software+재료연구(가구조형)+기초니팅기법연구+Open Studio Design2+3D프린팅상품개발+리빙디자인스튜디오Ⅰ+Life Ar,33,26,가구디자이너+머천다이저+인테리어디자이너+직물디자이너(텍스타일디자이너),2023-02-22,2023-12-27,B340014,한국대학교육협의회
2023,11,서울특별시,110,종로구,상명대학교,대학교,4년,학사,주간,기존,미술학부 조형예술전공,U07040300057,C13126,예체능,문화예술대학,일반과정,미디어리터러시+입체조형+평면조형+실감애니메이션+뉴미디어아트(캡스톤디자인)+창작드로잉(캡스톤디자인)+인공지능에기반한디지털콘텐츠제작기법+드로잉+기초컴퓨터그래픽1+미술학개론+미술진로워크샵(캡스톤디자인)+서양미술사+인체드로잉과해부학+미디어기법+기초조소+한국및동양미술사+판화+기초한국화+이미지와프로덕션+기초회화+조형예술론+한국화표현연구+공간과조형+인체모델링(캡스톤디자인)+문인화+회화와재현(캡스톤디자인)+근현대미술사+독립작품연구(캡스톤디자인)+현대예술의쟁점+스튜디오워크샵+미술과현장(캡스톤디자인)+라키비움의이해+졸업작품연구1+창작워크샵1+졸업작품연구2+창작워크샵2,22,23,게임애니메이터+광고 및 홍보전문가+미술치료사+방과후교사+사진가+아트디렉터(소품·세트)+웹 및 멀티미디어 디자이너+일러스트레이터+조각가+평론가+학예사(큐레이터)+화가,2023-02-22,2023-12-27,B340014,한국대학교육협의회
